benchmark,run,result
cond-args,baseline,missing
cond-args,global_constant_folding,missing
fact,baseline,62
fact,global_constant_folding,62
cond,baseline,9
cond,global_constant_folding,7
clobber-arg,baseline,3
clobber-arg,global_constant_folding,0
nonlocal,baseline,7
nonlocal,global_constant_folding,3
clobber-fold,baseline,10
clobber-fold,global_constant_folding,2
redundant,baseline,6
redundant,global_constant_folding,2
redundant-dce,baseline,6
redundant-dce,global_constant_folding,2
reassign,baseline,3
reassign,global_constant_folding,3
nonlocal-clobber,baseline,missing
nonlocal-clobber,global_constant_folding,missing
idchain-nonlocal,baseline,missing
idchain-nonlocal,global_constant_folding,missing
logical-operators,baseline,missing
logical-operators,global_constant_folding,missing
divide-by-zero,baseline,missing
divide-by-zero,global_constant_folding,missing
idchain,baseline,5
idchain,global_constant_folding,3
commute,baseline,missing
commute,global_constant_folding,missing
fold-comparisons,baseline,missing
fold-comparisons,global_constant_folding,missing
idchain-prop,baseline,missing
idchain-prop,global_constant_folding,missing
clobber,baseline,10
clobber,global_constant_folding,2
rename-fold,baseline,7
rename-fold,global_constant_folding,4
if,baseline,5
if,global_constant_folding,4
loop,baseline,26
loop,global_constant_folding,26
selfloop,baseline,20
selfloop,global_constant_folding,20
argwrite,baseline,4
argwrite,global_constant_folding,4
while,baseline,34
while,global_constant_folding,34
if-const,baseline,5
if-const,global_constant_folding,5
loop-ssa,baseline,31
loop-ssa,global_constant_folding,31
if-orig,baseline,missing
if-orig,global_constant_folding,missing
loop-orig,baseline,26
loop-orig,global_constant_folding,26
if-ssa,baseline,missing
if-ssa,global_constant_folding,missing
skipped,baseline,4
skipped,global_constant_folding,3
double,baseline,6
double,global_constant_folding,2
simple,baseline,5
simple,global_constant_folding,2
reassign,baseline,3
reassign,global_constant_folding,3
double-pass,baseline,missing
double-pass,global_constant_folding,missing
diamond,baseline,6
diamond,global_constant_folding,5
combo,baseline,missing
combo,global_constant_folding,missing
reassign-dkp,baseline,missing
reassign-dkp,global_constant_folding,missing
loopcond,baseline,117
loopcond,global_constant_folding,117
while,baseline,missing
while,global_constant_folding,missing
loop-branch,baseline,4
loop-branch,global_constant_folding,4
if,baseline,missing
if,global_constant_folding,missing
loop,baseline,26
loop,global_constant_folding,26
selfloop,baseline,20
selfloop,global_constant_folding,20
argwrite,baseline,missing
argwrite,global_constant_folding,missing
while,baseline,missing
while,global_constant_folding,missing
if-const,baseline,5
if-const,global_constant_folding,5
if-ssa,baseline,missing
if-ssa,global_constant_folding,missing
