benchmark,run,result
cond-args,baseline,missing
cond-args,global_liveness_analysis,missing
fact,baseline,62
fact,global_liveness_analysis,62
cond,baseline,9
cond,global_liveness_analysis,7
clobber-arg,baseline,3
clobber-arg,global_liveness_analysis,2
nonlocal,baseline,7
nonlocal,global_liveness_analysis,7
clobber-fold,baseline,10
clobber-fold,global_liveness_analysis,6
redundant,baseline,6
redundant,global_liveness_analysis,5
redundant-dce,baseline,6
redundant-dce,global_liveness_analysis,5
reassign,baseline,3
reassign,global_liveness_analysis,3
nonlocal-clobber,baseline,missing
nonlocal-clobber,global_liveness_analysis,missing
idchain-nonlocal,baseline,missing
idchain-nonlocal,global_liveness_analysis,missing
logical-operators,baseline,missing
logical-operators,global_liveness_analysis,missing
divide-by-zero,baseline,missing
divide-by-zero,global_liveness_analysis,missing
idchain,baseline,5
idchain,global_liveness_analysis,3
commute,baseline,missing
commute,global_liveness_analysis,missing
fold-comparisons,baseline,missing
fold-comparisons,global_liveness_analysis,missing
idchain-prop,baseline,missing
idchain-prop,global_liveness_analysis,missing
clobber,baseline,10
clobber,global_liveness_analysis,6
rename-fold,baseline,7
rename-fold,global_liveness_analysis,6
if,baseline,5
if,global_liveness_analysis,5
loop,baseline,26
loop,global_liveness_analysis,26
selfloop,baseline,20
selfloop,global_liveness_analysis,20
argwrite,baseline,4
argwrite,global_liveness_analysis,4
while,baseline,34
while,global_liveness_analysis,34
if-const,baseline,5
if-const,global_liveness_analysis,5
loop-ssa,baseline,31
loop-ssa,global_liveness_analysis,31
if-orig,baseline,missing
if-orig,global_liveness_analysis,missing
loop-orig,baseline,26
loop-orig,global_liveness_analysis,26
if-ssa,baseline,missing
if-ssa,global_liveness_analysis,missing
skipped,baseline,4
skipped,global_liveness_analysis,3
double,baseline,6
double,global_liveness_analysis,5
simple,baseline,5
simple,global_liveness_analysis,4
reassign,baseline,3
reassign,global_liveness_analysis,3
double-pass,baseline,missing
double-pass,global_liveness_analysis,missing
diamond,baseline,6
diamond,global_liveness_analysis,5
combo,baseline,missing
combo,global_liveness_analysis,missing
reassign-dkp,baseline,missing
reassign-dkp,global_liveness_analysis,missing
loopcond,baseline,117
loopcond,global_liveness_analysis,117
while,baseline,missing
while,global_liveness_analysis,missing
loop-branch,baseline,4
loop-branch,global_liveness_analysis,4
if,baseline,missing
if,global_liveness_analysis,missing
loop,baseline,26
loop,global_liveness_analysis,26
selfloop,baseline,20
selfloop,global_liveness_analysis,20
argwrite,baseline,missing
argwrite,global_liveness_analysis,missing
while,baseline,missing
while,global_liveness_analysis,missing
if-const,baseline,5
if-const,global_liveness_analysis,5
if-ssa,baseline,missing
if-ssa,global_liveness_analysis,missing
