benchmark,run,result
cond-args,baseline,missing
cond-args,loop_optimization,missing
fact,baseline,62
fact,loop_optimization,48
cond,baseline,9
cond,loop_optimization,9
clobber-arg,baseline,3
clobber-arg,loop_optimization,3
nonlocal,baseline,7
nonlocal,loop_optimization,7
clobber-fold,baseline,10
clobber-fold,loop_optimization,10
redundant,baseline,6
redundant,loop_optimization,6
redundant-dce,baseline,6
redundant-dce,loop_optimization,6
reassign,baseline,3
reassign,loop_optimization,3
nonlocal-clobber,baseline,missing
nonlocal-clobber,loop_optimization,missing
idchain-nonlocal,baseline,missing
idchain-nonlocal,loop_optimization,missing
logical-operators,baseline,missing
logical-operators,loop_optimization,missing
divide-by-zero,baseline,missing
divide-by-zero,loop_optimization,missing
idchain,baseline,5
idchain,loop_optimization,5
commute,baseline,missing
commute,loop_optimization,missing
fold-comparisons,baseline,missing
fold-comparisons,loop_optimization,missing
idchain-prop,baseline,missing
idchain-prop,loop_optimization,missing
clobber,baseline,10
clobber,loop_optimization,10
rename-fold,baseline,7
rename-fold,loop_optimization,7
if,baseline,5
if,loop_optimization,5
loop,baseline,26
loop,loop_optimization,22
selfloop,baseline,20
selfloop,loop_optimization,21
argwrite,baseline,4
argwrite,loop_optimization,4
while,baseline,34
while,loop_optimization,25
if-const,baseline,5
if-const,loop_optimization,5
loop-ssa,baseline,31
loop-ssa,loop_optimization,incorrect
if-orig,baseline,missing
if-orig,loop_optimization,missing
loop-orig,baseline,26
loop-orig,loop_optimization,22
if-ssa,baseline,missing
if-ssa,loop_optimization,missing
skipped,baseline,4
skipped,loop_optimization,4
double,baseline,6
double,loop_optimization,6
simple,baseline,5
simple,loop_optimization,5
reassign,baseline,3
reassign,loop_optimization,3
double-pass,baseline,missing
double-pass,loop_optimization,missing
diamond,baseline,6
diamond,loop_optimization,6
combo,baseline,missing
combo,loop_optimization,missing
reassign-dkp,baseline,missing
reassign-dkp,loop_optimization,missing
loopcond,baseline,117
loopcond,loop_optimization,90
while,baseline,missing
while,loop_optimization,missing
loop-branch,baseline,4
loop-branch,loop_optimization,5
if,baseline,missing
if,loop_optimization,missing
loop,baseline,26
loop,loop_optimization,22
selfloop,baseline,20
selfloop,loop_optimization,21
argwrite,baseline,missing
argwrite,loop_optimization,missing
while,baseline,missing
while,loop_optimization,missing
if-const,baseline,5
if-const,loop_optimization,5
if-ssa,baseline,missing
if-ssa,loop_optimization,missing
